کمي,scarcity
آدمدزد,abductor
آدمربا,abductor
عبدالعظيمي,Abdul Azimi
عبدالغني,Abdul Ghani
عبد الرشيد,Abdul Rashid
ابجدآموز,abecedarian
ابجدخوان,abecedarian
هابيل,Abel
انحراف,detour
گمراهي,aberration
بي تکليفي,suspension
بي تکليف,undecided
وفا کننده,abiding
وسع,ability
تمکن,power
قابليت,ability
استطاعت,ability
توانيي,ability
توان,strength
خوار و زار,abject
ارتداد,heresy
عهد شکني,abjuration
سوگند شکني,perjury
نقض عهد,perfidy
رافضي شدن,abjure
شيرواگيران,ablactation
ازي,ablative
مفعول منه,ablative
صيغه آلت,ablative
مفعول عنه,ablative
افروخته,burning
قادر,powerful
ليق بودن,able
باکله,intelligent
شکوفا,abloom
پر شکوفه,abloom
غسل,washing
آبدست,ablution
وضو,ablution
دست نماز,ablution before prayer
تيمم,ablution with earth
بخود حرام کردن,abnegate
کف نفس,self sufficiency
منکر,unlowful
غير عادي,utter
نا هنجاري,abnormalcy
نابههنجاري,abnormality
بودباش,residence
ابوالفتح,Abolfath
ابوالفضل,Abolfazl
ابوالقاسم,Abolghasem
ابوالحسن,Abolhasan
اازميان بردن,abolish
نسخ کردن,cancel
منسوخ کردن,abolish
موقوف,suspended
منسوخ,abolished
رسوم مسوخه,abolished customs
نسخ,prescriptions
الغا مجازات,abolition
برانداختگي,abolition
مکروه,hated
مکروه دانستن,abominate
عمل شنيع,abomination
وجهاشتراک,subscription rights
سکنه اوليه,aboriginal
گياه بومي,aborigine
نارس ماندن,abort
سقط کردن,abort
ريشه نکردن,abort
عقيم ماندن,abort
ساقط,lapsed
سقط جنيني,abortifacient
بچهانداز,abortion causing
عدم تکامل,abortion
سقط,rubble
سقط جنين,abortion
بچهاندازي,abortion
سقطجنين,abortion
کورتاژ,abortion
عقيم,unproductive
بوفور يافت شدن,abound
وفور يافتن,abound
وفور داشتن,abound
وفور پيدا کردن,abound
زياد بودن,abound
حدود,limits
به حدود,about
در باره,about
راجعبه,in the connection with
پيرامون,regarding
در حدود,about
در شرف,on the point of
در ب^ره,regarding
در مورد,regarding
جهت ديگر,about face
در ين باره,about this
در دم مرگ,about to die
زائو,about to give birth
راهي,traveling
بالي سر,above
نام برده,above
مکوردرفوق,above
واقع دربالا,above
مافوق,superior
از فراز,above
در بالي,above
بالي,above
بر روي,on
سخن نامفهوم,gobbledygook
سوزش آور,irritant
ابراهيم,Ibrahim
ابراهيم پيامبر,Abraham
ابراهام لينکلن,Abraham Lincoln
خراش,scratch
سيش,abrasion
سيا,abrasive
سينده,abrasive
سيشي,abrasive
مخفف,short
تلخيص شده,abridged
مجمل,brief
اقتصار,abridgement
بهم زده,abroach
ممالک بيگانه,abroad
گسترش يافته,abroad
تند,violent
ناگهان,suddenly
بي مقدمه,suddenly
آبسه,abscess
دنبل,abscess
دمل,abscess
پيله,cocoon
بعد افقي,abscissa
روپنهان کردن,abscond
نبودن,absence
غياب,absence
غيبت,backbiting
مغيب,absence
فقدان,want
غيبي,oracular
جا خالي,ducking
غيب,mysterious
غيابي,absentee
غيرموجود,unavailable
غيبت کردن,backbite
کم حافظه,forgetful
بي حواس,absent-minded
شخص غيب,absentee
حواسپرت,absentminded
حواس پرتي,absentmindedness
اکثريت مطلق,absolut majority
مطلق,unconditional
محض,pure
مطلقه,divorced
نشاني مطلق,absolute address
جهل مرکب,absolute ignorance
وکالت مطلغ,absolute power of attorney
حکومت مطلقه,absolute rule
قدر مطلق,absolute value
مطلقا,absolutely
مطلقاً,absolutely
عليالاطلاق,absolutely
اعلام بيتقصيري کردن,absolve
بري الذمه کردن,exempt
مکيدن,suck
جذب کردن,absorb
در کشيدن,retract
مستغرق بودن,absorb
درآشا ميدن,absorb
کاملا فروبردن,absorb
رطوبت کشيدن,absorb moisture
درکش,absorbant
درآشام,absorbant
مکنده,sucker
مستهلک,amortized
منجذب,drawn
فروبري,swallowing
قابليت جذب,absorbency
قدرت جذب,absorbency
جاذب,charming
نشاف,absorbent
آشامنده,drinker
انجذاب,absorption
درآشامي,absorption
درکشي,absorption
جذب,attraction
جذب کننده,absorptive
خودداري کردن,hold back
نکول کردن,retract
پرهيز,abstinence
ممتنع,impossible
پرهيزکار,abstemious
پرهيزگار,continent
نکول,retraction
شستشو دهنده,tubber
اجتناب,avoidance
پرهيزگاري,continence
پرهيزکاري,abstinence
اجمالي,abstract
انتزاعي,abstract
چکيده کردن,summarize
برآهيخته,abstract
اجمال,summary
خلاصه,summary
اسم معني,abstract noun
عدد مطلق,abstract number
تجريد,separation
چکيدگي,abstraction
انتزاع,separation
برآهنگ,abstraction
موجد تجرد,abstractive
تجريدي,abstractive
مغلق,closed
غامض,problematic
بي معني,meaningless
چرندي,absurd
مزخرف,nonsense
مزخرف بودن,absurdity
آبتين,Abtin
ابوظبي,Abu Dhabi
ابو هنيفه,doors
ابو موسي زرقاوي,Abu Musab Zarqawi
ابوعلي,Abu-Ali
ابوطالب,Abu-Taleb
ابوبکر,Abubakr
وفور,abundance
فراواني,plentitude
انبوهي,thickness
برکت,blessing
وافر,plentiful
فراوان,widespread
انبوه,thick
شيگان,abundant
فره,good
بفراواني,abundantly
سوءاستفاده کردن,abuse
سواستفاده کردن,abuse
بد بکار بردن,abuse
سوء استفاده,taking advantage
سوءاستعمال,misuse
بد استعمال کردن,abuse
سوء استعمال,misapplication
فحاش,foul-mouthed
فحش,swearword
بد زباني,abusive language
فحاشي,swearing
مماس بودن,abut
مجاور بودن,border
بست ديوار,abutment
پيه جناحي,abutment
زمين مجاور,abuttals
زمين همسيه,abuttals
هم مرز,neighbour
غوطه ورساختن,submers
مغاکي,abysmal
درکه,abyss
مغاک,tomb
حضيض,perigee
ورطه,abyss
ناپيمودني,abyssal
ژرفزيوي,abyssal
اقاقيا,acacia
انجمن دانش,scientific society
عضوانجمن علمي,academian
عضو آکادمي,academician
آکادميک,academic
عضو فرهنگستان,academic
تحصيلي,educational
مدرک تحصيلي,academic paper
سال تحصيلي,academic year
فرهنگستان,academy
آکادمي,academy
مکتب فرهنگستان,academy
آموزشگاه,school
خارسران,acanthocephala
کنگر,acanthus
آکاپولکو,Acapulco
فلسفه احتمالي,acatalepsy
رضيت دادن,accede
شتاب بخشيدن,accelerate
سرعت دادن,accelerate
شتاب کردن,hurry
سرعت گرفتن,accelerate
تسريع کردن,accelerate
تسريع شدن,accelerate
تند شدن,accelerate
تسريع,speeding up
شتاب,speed
افزيش سرعت,acceleration
شتابي,accelerative
شتاباننده,accelerator
گاز,gauze
تند کن,accelerator
لهجه,accent
گويش,dialect
لهجهي,accentual
اجابت کردن,comply
موافقت شدن,accept
قبول کردن,accept
تقبل کردن,undertake
حاضر شدن,attend
پذيرفتن,accept
قابليت پذيرش,acceptability
پذيرفتگي,admissibility
مقبوليت,acceptability
قابل پذيرش,acceptable
پذيرفتني,admissible
موجه,good
بلامانع,acceptable
قبولي,acceptance
پذيرش,admission
قبول,acceptance
اجابت,acceptance
تقبل,acceptance
آزمون پذيرش,acceptance test
قبول کننده,complier
معني مصطلح,acceptation
مقبول,pretty
مستجاب,accepted
پذيرفته,admitted
پذيرا,accepting
پذيرنده,acceptor
دسترسي,availability
دستيابي,access
راه يافتن,gain
تقرب,access
کنترل دستيابي,access control
زمان دستيابي,access time
دم دستي,accessible
دستياب,accessible
بدست آوردني,obtainable
دسترس,available
الحاق حقوق,accession
جلوس کردن,sit
جلوس,accession
هم دست,helper
سانحه,accident
داهيه,accident
اتفاق,unity
عارضه صرفي,accident
تصادف,coincidence
حادثه,phenomenon
عرض,width
پيشآمدي,accidental
تصادفي,accidental
عارضي,adventitious
عرضي,widthwise
غير اساسي,accidental
اتفاقي,haphazard
بر حسب تصادف,accidentally
تصادفا,accidentally
بل,haply
سوانح,accidents
عوارض,tariffs
حوادث,accidents
ندا دادن,acclaim
احسنت,acclamation
جي دادن,accommodate
همساز کردن,accommodate
جا دادن,intromit
دم گيري,accompaniment
دم گير,accompanist
بدرقه کردن,escort
توام کردن,link
مصاحبت کردن,accompany
همراه رفتن,go along
مشيعت کردن,accompany
بدرقه,accompanying
معاون جرم,accomplice
همداستان,accomplice
شريک جرم,accomplice
دستيار,assistant
بهانجام رساندن,outwork
مهذب,refined
باکمال,accomplished
صاحب کمال,educated
کامل شده,accomplished
کارکرد,yield
کمالات,accomplishments
طيب خاطر,free will
وفق,accordance
به اظهار,according to
به نوشته,according to
به ادعي,according to
به نظر,according to
مطابق,similar to
طبق,based on
بمصداق,according to
به گفته,according to
به عقيده,according to
بگزارش,according to
بنابر,based on
بنابه,according to
بنابگفته,according to
بنا به گفته,according to
بر طبق,similar to
بر حسب,at
بزعم,according to
برطبق,according to
مطابق با,in accordance with
ممصادق,according to
بروفق,according to
بنا بر مقتضيات,according to circumstances
بر وفق مراد,according to desire
طبق مرسوم,customerily
بر حسب مرسوم,customerily
بعادت معلوف,according to the usual habit
بعادت مالوف,according to the usual habit
وزناً,according to weight
بقرار مسموع,according to what is said
به ين ترتيب,accordingly
نتيجتا,accordingly
از ينرو,accordingly
بدين ترتيب,accordingly
بالنتيجه,accordingly
حساب,score
تاريخچه,diary
کارت حساب,account card
شماره حساب,account number
صورت حساب بانکي,account statement
قابل توضيح,accountable
حسابداري,accounting
حسابدار,accountant
محاسبه,calculation
محاسباتي,fiscal
ماشين حسابداري,accounting machine
اداره حسابداري,accounting office
سيستم حسابداري,accounting system
محاسبات,calculations
مجگ,accrete
منتج گرديدن,accrue
فرهنگ پذيرفتن,acculturate
ذخيره کردن,store
انباشتن,pack
ترکم کردن,accumulate
گرد کردن,round off
اندوختن,save
مال اندوختن,accumulate wealth
احتکاري,accumulating
تراکم,density
انباشتگي,jam
انباره,accumulator
انباشتگر,accumulator
صحت,good health
دقت,carefulness
کنترل دقت,accuracy control
راستين,true
دقيق,precise
افترا,slander
تهمت,charge
اتهام,charge
ريي,accusative
اتهامي,accusatory
تهمت آميز,accusatory
افترا زدن,defame
متهم ساختن,accuse
متهم کردن,accuse
تهمت زدن,accuse
تهمت بستن,accuse
متهم,accused
عادي کردن,normalize
عادت دادن,habituate
معتاد ساختن,accustom
آشنا شدن,accustom
خو دادن,accustom
خو گرفتن,get used to
معتاد شدن,habituate
خوگرفته,accustomed
آموخته,taught
کلمات مييد,ace
بي ياخته,acellular
غير سلولي,acellular
بي مرکز,acentric
سوزني شکل,aciform
دبشي,acerbity
استات,acetate
سرکه مانند,acid
جوهر سرکه,acetic acid
هخامنشي,achaemenian
عالم اسفل,netherworld
موفقيت پذير,achievable
قابل وصول,receivable
صورت پذير,realizable
قابل تفريق,achievable
دست يافتن,gain access
بهانجام رسانيدن,finalize
کار بزرگ,feat
نقطه ضعف,blind spot
اسيد,acid
حامض,acid
جوهر اسيد,acid
وسيله آزميش,acid test
اسيدي,acidic
اسيد دار,acidic
تحميض,acidification
اسيد شدگي,acidification
ميه حموضت,acidifier
اسيد سنج,acidimeter
اسيديته,acidity
حموضت,acidity
اسيدگري,acidophile
کج خلق,crabby
اقرار کردن,confess
اذعان,submission
اعتراف,confession
شهادت نامه,certificate
اقرار,confession
نقطه کمال,acme
غرور جواني,rash
جوش,weld
يک ور,atilt
صلع,acomia
بلوط,chestnut
سامعه سنج,acoumeter
صوتي,vocal
صديي,acoustic
ويژه گر آواشنود,acoustician
صوت شناسي,phonemics
معرفت,wisdom
آشنا,familiar
شناسا,acquainted
بلد,region
تن در دادن,acquiesce
قابل حصول,procurable
علم اندوختن,acquire knowledge
فرا گرفته,lerned
مکتسب,learned
اکتسابي,acquired
يمني اکتسابي,acquired immunity
فرا گيري,learning
اندوزنده,acquirer
فراگيري,learning
تحصيل,education
حصول,attainment
اکتساب,getting
اکتساب کننده,acquisitive
روسفيد کردن,make proud
تبرئه کردن,exonerate
تبرئه,exoneration
برائت ذمه,clearance
برائت,innocence
دبش,acrid
گس,astringent
گسي,acridity
آکروبات,balancer
گچ بري,tore
سر نام,acronym
رو به رو,in front of
ازعرض,widthwise
روبروي,in front of
روب رو,opposite
روبه روي,in front of
توشيحي,acrostic
جابجا شونده,moving
پرده,veil
يفا کردن,act
اقدام کردن,act
اقدام به عمل آوردن,act
روح دادن,enliven
واسطه شدن,act as mediator
سهل انگاري کردن,act carelessly
مدارا کردن,compromise
محافظه کاري کردن,act conservatively
ناز کردن,demure
غر دادن,act coyly
خل بازي در آوردن,act crazy
خل گري کردن,act crazy
نادرستي کردن,act dishonestly
احمقانه رفتار کردن,act foolishly
مليمت کردن,act gently
درشتي کردن,act harshly
خشونت کردن,act harshly
دست از پا خطا کردن,exceed one's limits
ناجوانمردي کردن,act in a dastardly way
ناشيگري کردن,bungle
هرزه گي کردن,act lewdly
خست ورزيدن,act miserly
تقليد کردن,imitate
حماقت کردن,act stupidly
خريت کردن,act stupidly
يفي نميش,acting
بازيگري,acting
کفالت کننده,acting
خل بازي,acting crazy
خل گري,acting crazy
تابش سنج,actinometer
کنش,digging
عمل,operation
فعل,verb
عملکرد,revenue
اقدام,step
فعل و انفعال,action and reaction
عمليات,operations
افعال,verbs
فعال سازي,activation
کنشي,active
پر تحرک,stirring
فعال,energetic
عامل,skilled
اثرکننده,effecter
عنصر فعال,active element
عنصر کنشي,active element
فعالانه,actively
فعاليت,activity
بازيگر,actress
بازيگران داستان,actress
بازيگرزن,actress
اعمال,functions
حالي,present
نشاني واقعي,actual address
نشانوند واقعي,actual argument
کليد واقعي,actual key
امرمسلم,actuality
واقعي کردن,actualize
عملا,practically
بالفعل,actually
واقعا,really
فعلا,presently
در حقيقت,indeed
آمارگر,statistician
آمارگير,actuary
بکار اندازي,actuation
بکار اندازنده,actuator
نوک دار,rostral
عمل تيزکردن,acumination
سوزن فروکردن,acupunctuate
طب سوزني,acupuncture
سوزن درماني,acupuncture
حاد,sharp
سلسله اعصاب مو,acute
زاويه حاده,acute angle
زاويه تند,acute angle
بحدت,acutely
ذکاوت,acuteness
ناچرخهي,acyclic
جنجالي,troublemaker
چرنده,grazer
چاروادار,groom
ضال,misled
بي معرفت,ungrateful
چيت,chintz
غادر,treacherous
چنار,plane tree
فاقد عموميت,ad hoc
آدم ابولبشر,Adam
آدم,person
جوزک,Adam's apple
يکدنده,stubborn
تطبيق دادن,adapt
وفق پذيري,adaptability
وفق پذير,adaptable
سازواري پزير,adaptable
سازواري,adaption
اقتباس,aquiring
وفاق,conformity
تطبيق,comparison
اقتباسي,adapted
وفق دهنده,syncretic
سازوارگر,adaptor
وفقي,adaptive
تطبيقي,comparative
سازواري سنج,adaptometer
سازواري سنجي,adaptometry
دوظرفيتي,adbivalent
افزودن,add
علاوه کردن,increase
اضافه نمودن,add
اضافه کردن,add
آتش دامن زدن,add fuel to fire
دامن زدن,add fuel to the fire
جمع کردن,gather
جمع زدن,add up
جمع بندي کردن,add up
اضافه شدني,addable
افزوده,increased
مار جعفري,green viper
افزيشگر,adder
مبتلا کردن,infect
خو گرفتگي,addict
معتاد کردن,addict
معتاد,addicted
افيوني,addicted
ابتلاء,affliction
ابتلا,suffering
اعتياد,use
آموختگي,tameness
ماشين افزيشگر,adding machine
جمع بندي,adding up
علاوه,excess
جمع,total
جدول افزيشي,addition table
اضافي,extra
مضافات,appendages
ملحقات,attachments
افزيشي,additive
وارون افزيشي,additive inverse
خرف کردن,addle
مخاطب قرار دادن,address
سرخط,written agreement
نشاني,sign
اسم و رسم,reputation
مخاطب ساختن,address
ورنامه,address
آدرس,address
نشاني دادن,address
خطاب کردن,address
نشاني شمار,address counter
قالب نشاني,address format
خير مقدم,address of welcome
جز نشاني,address part
ثبات نشاني,address register
متغير نشاني,address variable
نشاني پذيري,addressability
نشاني پذير,addressable
مخاطب,speaker
گيرنده نامه,addressee
نشاني يابي,addressing
نشاني دهي,addressing
خطاب به,addressing
اقامه,producing
نزديک کننده,adductor
استشهاد کردن,adduse
بگواهي خواستن,adduse
عادل,just
عادله,Adeleh
مرد زبردست,adept
زبر دستي,skill
وافي,adequate
مکفي,adequate
وفادار ماندن,adhere
هواخواه بودن,adhere
متفق بودن,hang together
جور بودن,comport
چسباندن,stick
چسبيدن,stick
تبعيت,citizenship
ملازمت,attendance
دوسيدگي,adhesion
قبول عضويت,adhesion
کشش سطحي,adhesion
ملتصق,attached
چسبناک,sticky
چسبنده,tenacious
چسبندگي,bonding
چسبيدگي,attachment
عدي,Adi
در فاصله,adinterim
چربي حيواني,adipose tissue
قرب جوار,adjacence
همجوار,neighboring
زويي مجاور,adjacent angles
صفتي,adjectival
وصفي,descriptive
صفت,quality
مجاور,next to
احقاق کردن,adjudicate
احقاق,adjudication
احقاق حق,adjudication
صفت فرعي,adjunct
مشاع سازي,adjunction
لابه,adjuration
انطباق يافتن,adjust
تنظيم کردن,adjust
تعديل کردن,adjust
کم و زياد کردن,adjust
ميزان کردن,adjust
منطبق شدن,coincide with
قابل تصحيح,corrigible
تنظيم پذير,adjustable
آچار فرانسه,adjustable wrench
تنظيم کننده,composer
معدل,average
منطبق,coinciding
انطباق,adjustment
تعديل,modification
تنظيم,setting
تصحيح,correction
آجودان,adjutant
ياري کننده,coadjutor
بميل خود,adlib
احقاق حق کردن,administer justice
اداره کل,administration
وصيت,will
فرمداري,administration
دادگستري,Department of Justice
اداري,official
فرمدار,administrator
ادارهکننده,gerent
مدير تصفيه,administrator
ستودني,praiseworthy
هژير,praiseworthy
پسنديده,selected
قابل تحسين,admirable
قابل پسند,admirable
درياسالار,admiral
دريابيگي,admiral
درياسالاري,admiralty
تحسين,applause
پسند,admiration
پسنديدن,select
متعجب ساختن,surprize
تحسين کردن,applaud
ستينده,admirer
تحسينکننده,admirer
ستيشگر,admirer
روا بودن,admissibility
روائي,admissibility
قابلت قبول,admissibility
اختيارداري,exercise of control
روا,permissible
قابل تصديق,admissible
مجاز,permissible
بارداد,admission
دخول,entrance
اجازه ورود,permission to enter
اجازه دخول,admission
وروديه,admission fee
حقالورود,admission fee
هديت ظاهري,admittance
معترفا,admittedly
بهم پيوستن,mosaic
هم آميزه,admixture
پند دادن,advise
نصيحت آميز,sententious
عبرتانگيز,admonitory
عدنان پاچه چي,Adnan Pachechi
غيرمشخص,unclear
بلوغ,puberty
نوخاسته,youthful
نوجوان,teenager
فرا گرفتن,merge
اتخاذ کردن,adopt
تخلص کردن,adopt a pen name
خواهر خوانده,adopted sister
پسرخوانده,adopted son
تبني,adoption
اتخاذ,choosing
قابليت پرستش,adorableness
قابل پرستش,worshipful
عشق ورزي,love-making
پرستش,worship
پرستيدن,worship
آراستن,decorate
پيراستن,decorate
آريش دادن,adorn
آريش کردن,adorn
مزين کردن,decorate
آريش دهنده,adorning
تزيين,decoration
پيراستگي,decoration
آريش,adornment
آراستگي,adornment
تراز,level
زينت,ornament
شبيه آدرنالين,adrenergic
غوطه ورروي آب مج,adrift
زبر دست,industrious
جذب سطحي,adsorption
ضعف پيري,aducity
استشهادي,testimonial
مدح گفتن,adulate
بالغ,adult
بزرگ سال,adult
بزرگ,large
بزرگسال,adult
آموزش بزرگسالان,adult education
مدرسه بزرگسالان,adult school
مدرسه اکابر,adult school
استحاله دهنده,adulterant
جازن,faker
استحاله,transubstantiation
فاجر,sinful
مرد زناکار,adulterer
زاني,adulterer
زناکار,adulterer
فاجره,adulteress
زن زناکار,adulteress
زانيه,adulteress
زناکارانه,adulterous
زني محصنه,adultery
ازدواج غيرشرعي,adultery
زنا,adultery
اکابر,adults
پيش افتادن,get ahead
پيشرفت کردن,advance
جلو افتادن,getting ahead
جلو آمدن,come forward
جلو رفتن,going forward
ترقي دادن,rise
جلو بردن,advance
ترقي کردن,rise
راقي,develop
پيش رفتن,advance
پيشروي,advancement
پيشروي کردن,progress
پيش کريه,advance fare
سلم,Salem
پيش پرداخت,advance payment
مساعده,advance payment
سلف خري,advance purchase
پيش مزد,advance wage
پيشرفته,advanced
ترفيع,promotion
پيشرفتگي,projection
پيشرفت,progress
مفيد بودن,stead
حسن,Hasan
سودمند بودن,avail
فيده,advantage
منفعت,profit
مزيت,advantage
مزيت دادن,benefit
نافع,useful
باصرفه,beneficial
منافع,profits
ظهور,manifestation
نابجا,inopportune
غير موروثي,adventitious
نابومي,adventive
خوان,dinner table
ماجريي,adventure
ماجرا,story
ماجراجو,quarrelsome
ماجرا جو,adventurer
حادثه جو,adventurer
زن جسور,adventuress
پرماجرا,adventurous
پر سرگذشت,adventurous
مخاطره آميز,hazardous
ماجراجويانه,adventurous
مخاطره طلب,adventurous
ماجراجويي,adventurousness
عبارت قيدي,adverb
معين فعل,adverb
اسم مکان,adverb of place
اسم زمان,adverb of time
ظرفي,adverbial
هم آورد,rival
هم نبرد,antagonist
نقضآميز,adversative
ناموافق,opposed
نکبت,wretched
ضرا,misfortune
شقاوت,adversity
ادبار,adversity
عطف,reference
آگهي کردن,advertise
اعلان کردن,declare
اگهي,advertisement
تبليغ,propaganda
اعلان,notice
آگهي,announcement
آگهي گر,advertiser
اطلاع,knowledge
پند,advice
اندرز,advice
صوابديد,consultation
نصيحت,advice
مصلحتآميز,sensible
صواب,pious act
مقتضي,suitable
مصلحتي,prudent
مصلحت آميز,advisable
مقرون بصلاح,advisable
قابل توصيه,recommendable
نصيحت کردن,advise
پند گفتن,aphorize
توصيه کردن,recommend
آگاه کردن,inform
تجويز,recommendation
اعلاميه,statement
اندرز دادن,advise
ناصح,adviser
رهنمون,guideline
نصحا,counsellors
ندما,councellors
مستشار,counsellor
مشاور,counsellor
استاد راهنما,advisor
مشورتي,consultative
نصيحتي,advisory
طرفداري,support
وکيل مدافع,defense attorney
طرفدار بودن,advocate
اژه,aegean
قرن بي انتها,aeon
هوا خوردگي,exposure
هويي,air
آشيانه مرتفع,aerie
هوابر,aeriferous
تهويه,ventilation
پرواز خوبي,aerobatics
هوازيستي,aerobiosis
هوازي,aerobiosis
هوا نامه,aerogramme
شهاب ثاقب,shooting star
جوشناسي,aerology
دانش هواپيمائي,aeronautics
هوابيني,aeroscopy
آرواسپيس,aerospace
اتمسفر,aerosphere
کره هوا,aerosphere
جمال پرست,aesthete
ظريف طبع,aesthetic
زيبيي پرستي,aestheticism
زيبائي شناسي,aesthetics
زيبيي گريي,aesthetics
ناخوشي تابستاني,aestival
آفاق,Afagh
آفرين,well-done
عفت,modesty
خوش برخورد,friendly
خوش خلق,good-tempered
مصلحت,prudence
حاجت,want
امر,order
کار و بار,affeir
امور,affairs
مصالح,seasonings
تاثير گذاردن,affect
اثر کردن,work
تصنع,affectation
تصنعي,affected
مبتلا,affected
دچارعلت کردن,disease
مبتلا به,affected with
عاطفه,sentiment
علاقه,tie
محبت,knidness
عطوفت,kindness
رافت,kindness
عطفي,inclined
عاطف,affectionate
با محبت,kind
مهربان,kind
محبت آميز,loving
سوگندنامه,affidavit
استشهاد نامه,affidavit
استشهاد,affidavit
مربوط ساختن,identify
نسبت ازدواجي,affine
آشکارا گفتن,confess
بحق دانستن,affirm
يجاب,affirmation
تصديقآميز,affirmative
مبت,positive
عبارت مثبت,affirmative
اظهار مثبت,affirmative
جواب مثبت,affirmative answer
وحي الهي,afflatus
رنجور کردن,afflict
غمزده,sad
غصه دار,sorrow
مستمند,poor
مصيبت زده,stricken
غمديده,grieved
رنجه,troubled
بلا ديده,afflicted
دلخسته,heartsore
گريبان گير,afflicting
غمزدگي,sorrow
مصيبت,tragedy
رنجوري,affliction
مشقت,hardship
رنجورساز,afflictive
نعمت,Nemat
تنعم,affluence
از عهده برآمدن,afford
استطاعت داشتن,afford
جنگلکاري کردن,afforest
وحشت زده,terrified
روبرو دشنام دادن,affront
عمل پاشيدن,affusion
افغان,Afghan
عربهي افغاني,Afghan Arabs
فغانستان,Afghanistan
افغانستان,Afghanistan
افاغنه,Afghans
مشتعل,inflamed
در حرکت,astir
برپا,established
مبور,aforementioned
سابق الذکر,aforementioned
بالاگفته,aforementioned
مزبور,aforementioned
اخيرالذکر,aforementioned
ياد شده,aforementioned
مذکور,mentioned
افرا,Afra
ترسان,frightened
بيمناک,scared
خائف,afraid
خوفناک,fearful
ترسنده,afraid
افريقا,Africa
آفريقا,Africa
افريقيي,African
آفريقيي,African
سياه پوست,nigger
آفريقيي آمريکيي,African-American
سياهپوست,Afro-American
افسانه,legend
افسر,officer
افشان,scattered
افشار,Afshar
افشين,Afshin
از پس,from behind
پس از,after
پي,after
دنبال,after
بيادبود,after
بعد از ينکه,after
به دنبال,following
پساز,behind
پس از ينکه,after
بعد,then
پس از آن که,after
بعد از,after
بدنبال آن,after that
اثر ثانوي,aftereffect
پس تاب,afterglow
پس فروزش,afterglow
عقبي,rear
آخرت,future
پسيند,aftermath
عقب ترين,aftermost
عصر,age
نيمروزي,afternoon
بعد از ظهر,afternoon
لذت ثانوي,aftertaste
لذت بعدي,aftertaste
بعد از آن,afterwards
سپس,then
پسازآن,afterwards
بعدا,later
عالمفاني,earthyworld
عالمآخرت,afterworld
ديگر بار,again
دو مرتبه,twice
مجددا,repeatedly
مکرراً,repeatedly
دومرتبه,twice
دوباره,second
باز,spread
باز هم,again
ازنو,again
خلاف,offense
عليه,against
بر ضد,against
بخلاف,against
در برابر,toward
برضد,against
برخلاف,unlike
بر خلاف,unlike
در مقابل,versus
مقابل,opposite
بر عليه,against
کم شير,agalactous
درشگفت,agape
عقيق,Aghigh
سالخورده شدن,age
قدم,step
پيرنما کردن,age
قدمت,ancientness
سن,Seine
سالگي,age of
حد بلوق,age of puberty
سني,Sunnite
سالمند,elderly
معمر,long
کهنسال,very old
مسن,old
آژانس فرانس پرس,Agence France-Presse
